Iteration,Best_Fitness,Function
756,1.9977112450084212e-55,max_absolute
761,1.9977112450084212e-55,max_absolute
766,6.837574101041718e-56,max_absolute
771,6.587709349766412e-56,max_absolute
776,6.190722404702283e-56,max_absolute
781,5.476374730812604e-57,max_absolute
786,1.858652018976293e-57,max_absolute
791,8.14736114873426e-58,max_absolute
796,6.816368748642378e-58,max_absolute
801,2.0315138277801415e-58,max_absolute
806,5.146645738878583e-59,max_absolute
811,3.2805227905521757e-60,max_absolute
816,1.3043182426778357e-60,max_absolute
821,6.633290698592649e-61,max_absolute
826,1.1585993950093872e-61,max_absolute
831,4.152320549653715e-62,max_absolute
836,1.5492045846886713e-62,max_absolute
841,1.5492045846886713e-62,max_absolute
846,1.1466670367974266e-62,max_absolute
851,8.634746436041441e-63,max_absolute
856,5.230362744628998e-63,max_absolute
861,5.230362744628998e-63,max_absolute
866,7.72670415893207e-64,max_absolute
871,7.253372933391284e-64,max_absolute
876,3.149320322607437e-64,max_absolute
881,9.542968751218826e-65,max_absolute
886,2.656667747760134e-65,max_absolute
891,5.939629146655542e-66,max_absolute
896,5.689384897600895e-66,max_absolute
901,3.28111407736752e-67,max_absolute
906,1.8879991625484802e-67,max_absolute
911,1.8879991625484802e-67,max_absolute
916,1.15931928758706e-67,max_absolute
921,7.797988023131167e-68,max_absolute
926,1.8236205781300941e-68,max_absolute
931,1.6758748953432012e-68,max_absolute
936,6.664308809542249e-69,max_absolute
941,6.664308809542249e-69,max_absolute
946,3.31308153001593e-69,max_absolute
951,2.4631372624226724e-69,max_absolute
956,6.713274197286883e-70,max_absolute
961,5.3677198631289786e-70,max_absolute
966,1.7033271004732617e-70,max_absolute
971,7.39336340548375e-71,max_absolute
976,2.4553449554934973e-71,max_absolute
981,1.2590419769716469e-71,max_absolute
986,7.256323810099394e-72,max_absolute
991,4.1923234409951043e-72,max_absolute
996,4.948993221538856e-73,max_absolute
1,2.1600780293539262e+19,generalized_power
6,3962527.7498722235,generalized_power
11,0.00033691113179830384,generalized_power
16,0.00033691113179830384,generalized_power
21,5.888500352399701e-05,generalized_power
26,3.9748967860020415e-07,generalized_power
31,8.314515213702916e-08,generalized_power
36,2.176358094939036e-08,generalized_power
41,2.978401301976029e-10,generalized_power
46,2.1592872908894664e-11,generalized_power
51,3.337322836074532e-13,generalized_power
56,1.5622514429221505e-13,generalized_power
61,1.5622514429221505e-13,generalized_power
66,7.524915925266167e-14,generalized_power
71,4.004780588052886e-15,generalized_power
76,1.8888747172665554e-15,generalized_power
81,6.34157521279483e-16,generalized_power
86,1.2335141359102275e-16,generalized_power
91,1.2455238003731853e-17,generalized_power
96,2.11358105647173e-18,generalized_power
101,3.0364699005978053e-19,generalized_power
106,2.311507559791207e-19,generalized_power
111,8.89989463543452e-21,generalized_power
116,3.645601274543898e-21,generalized_power
121,2.2034523625704406e-21,generalized_power
126,4.586674629628901e-22,generalized_power
131,5.678316499679008e-23,generalized_power
136,1.5876862494999146e-23,generalized_power
141,5.2321678092356104e-24,generalized_power
146,5.2321678092356104e-24,generalized_power
151,1.5718068091029018e-24,generalized_power
156,9.195385192791137e-25,generalized_power
161,1.2013369981578514e-26,generalized_power
166,1.0771610804061752e-26,generalized_power
171,9.089886335751492e-28,generalized_power
176,8.9738928334505e-28,generalized_power
